1,?????????,Azerbaijan
2,??????? ?????,South Africa
3,??????? ?????,Central African Republic
4,?????,Germany
5,??????? ? ???????,Antigua and Barbuda
6,??????,Andorra
7,??????,Angola
8,?????,Austria
9,??????,Ethiopia
10,????,Jordan
11,????????,Armenia
12,??????,Eritrea
13,????????,Uzbekistan
14,???????,Spain
15,????????,Australia
16,??????,Estonia
17,????????,Slovakia
18,???????,Slovenia
19,?????????,Afghanistan
20,???????,Algeria
21,??????????,El Salvador
22,?????? ????? ????,United Arab Emirates
23,??????,United States
24,???????,Indonesia
25,????????,Uruguay
26,???????,Uganda
27,???????,Ukraine
28,????????,Ecuador
29,???????,Italy
30,?????,Iran
31,??????,Ireland
32,??????,Iceland
33,????????,Barbados
34,??????,Bahamas
35,?????,Bahrain
36,?????,Brazil
37,??????,Brunei
38,????????,United Kingdom
39,??????,Belarus
40,?????,Belgium
41,?????????,Bulgaria
42,????,Belize
43,???????,Bangladesh
44,????,Benin
45,?????,Bhutan
46,????????,Botswana
47,???????,Burundi
48,???????????,Burkina Faso
49,??????,Bolivia
50,????????? ??,Papua New Guinea
51,????????,Paraguay
52,??????,Panama
53,???????,Pakistan
54,??????,Portugal
55,???,Peru
56,?????????,Tajikistan
57,????????,Tanzania
58,??????,Thailand
59,?????????,Turkmenistan
60,?????,Turkey
61,???????? ? ??????,Trinidad and Tobago
62,????,Togo
63,????,Tunisia
64,?????,Tonga
65,??????,Tuvalu
66,??? ?????-??????,Taiwan
67,????????,Argentina
68,??????,Albania
69,????????,Jamaica
70,????? ??????,Solomon Islands
71,??????,Djibouti
72,??????,Marshall Islands
73,?????? ??,Czech Republic
74,???,Chad
75,???,China
76,???????,Denmark
77,??????,Dominican
78,???????,Dominica
79,??????,Rwanda
80,?????,Russia
81,??????,Romania
82,????-?????? ????,Congo
83,??????,Zambia
84,???????,New Zealand
85,???????,Zimbabwe
86,????,Japan
87,???????? ? ??????,SAO TOME AND PRINCIPE
88,???? ???-??? ?????,COTE D'IVOIRE
89,?????? ????,Samoa
90,??? ??????,San Marino
91,????????,Sri Lanka
92,????,Seychelles
93,??? ?????,Saint Lucia
94,??? ????? ? ???????,Saint Vincent and the Grenadines
95,??? ???? ? ????,Saint Kitts and Nevis
96,???????,Singapore
97,?????,Senegal
98,????,Sweden
99,?????,Switzerland
100,????????,Swaziland
101,?????,Sudan
102,???????,Suriname
103,?????,Syria
104,??????,Somalia
105,????????,Sierra Leone
106,????,Chile
107,????,Iraq
108,???????,Saudi Arabia
109,????,Oman
110,???,Ghana
111,??????,France
112,??????,Finland
113,????,Fiji
114,???????,Philippines
115,????,Cyprus
116,?????????,Kyrgyzstan
117,????????,Kazakhstan
118,???,Qatar
119,?????????,Costa Rica
120,??????,Cambodia
121,??????,Cameroon
122,??????,Canada
123,??????,Croatia
124,??? ?????,"Korea, South"
125,??? ?????,"Korea, North"
126,??????,Colombia
127,????,Kenya
128,????,Cuba
129,????,Kuwait
130,??? ???,Cape Verde
131,???????,Kiribati
132,?????,Gabon
133,??????,Gambia
134,??????,Grenada
135,???????,Georgia
136,????????,Guatemala
137,?????,Guyana
138,????,Guinea
139,???? ???????,Equatorial Guinea
140,???? ??????,Guinea-Bissau
141,?????,LAO PEOPLE'S DEMOCRATIC REPUBLIC
142,?????,Latvia
143,?????,Lebanon
144,?????,Lesotho
145,??????,Poland
146,??????????,Luxembourg
147,??????,Liberia
148,????,Libya
149,???????,Lithuania
150,????? ??????,Liechtenstein
151,??????????,Madagascar
152,??????,Malawi
153,????,Malta
154,??????,Maldives
155,?????,Malaysia
156,????,Mali
157,????????,Hungary
158,???,Egypt
159,????- ?????,Morocco
160,????????,Mongolia
161,???????,Macedonia
162,????????,Mauritania
163,?????,Mauritius
164,????????,Mozambique
165,???????,Moldova
166,??????,Monaco
167,?????,Mexico
168,???????(????),Myanmar
169,?????????,Micronesia
170,??????,Nauru
171,??????,Namibia
172,????,Nepal
173,????,Norway
174,????,Niger
175,??????,Nigeria
176,??????????,Nicaragua
177,???????,Vatican City
178,???????,Vanuatu
179,???????,Venezuela
180,??????,VIET NAM
181,??????,Haiti
182,????,Netherlands
183,???????,Honduras
184,????????,India
185,??????? ? ????? ????,Montenegro
186,???,Yemen
187,?????,Greece
